OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,ESHM_med,NGAE_med,S09yc_med,S09nc_med,A12_std,AB06_std,D15_std,ESHM_std,NGAE_std,S09yc_std,S09nc_std,A12_wt,AB06_wt,D15_wt,ESHM_wt,NGAE_wt,S09yc_wt,S09nc_wt
730,104,15.58,46578.0,6.6,HW,,1,-3.0718402278111614,-3.463784964959475,-3.0478779835422714,-2.8840675096665946,-2.808536084750923,-2.6043265130883153,-3.020941556898519,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
731,104,38,69456.3,7.1,HW,,1,-2.9142752190635943,-3.3533084711594214,-2.9092263470599353,-2.7414497121413084,-2.548991466558067,-2.281539959766357,-2.5976174052008973,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
732,104,37,91774.2,7.1,HW,,1,-3.0280575204670193,-3.3864509533703657,-3.1432270855394964,-2.9780710469082723,-2.6886093517109044,-2.607018634450263,-2.825634820199002,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
734,107,55,4013.5,7.3,HW,,1,-0.32481171441745293,-0.646669563016586,-1.3389687924986269,-0.6389950346235271,-0.474170899004239,0.5129317445092274,-0.30011149460855335,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
735,107,33,4767.5,7.0,HW,,1,-0.5275829992775046,-0.8776470117957277,-1.5193440747918823,-0.9158331701569867,-0.6496439922467081,0.06720740584945847,-0.6894771212433186,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
736,107,53,12196.2,7.2,HW,,1,-1.0255403521118336,-1.4259461926037984,-1.7322183282860537,-1.2870751494310504,-0.9256831603001439,-0.29099467372452625,-0.9650151861455788,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
737,107,54,13820.3,7.3,HW,,1,-1.0723858686084518,-1.4891284354257546,-1.7420518559169815,-1.292859948082939,-0.9437666365248312,-0.27392059096238985,-0.947228271248535,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
738,107,10,14056.3,6.4,HW,,1,-1.9668756085015593,-2.340764758684026,-2.4303978456082804,-2.040049604870243,-1.7333966284920328,-1.5831562339968765,-2.1987107520143443,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
739,107,43,17714.8,7.1,HW,,1,-1.4480844206203303,-1.8873735903484357,-1.983988280155831,-1.6394444364844067,-1.2586873992588183,-0.7744204875985297,-1.3741424576115417,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
740,107,15,18201.3,6.6,HW,,1,-1.9904115121700623,-2.3975845804684823,-2.389869831843553,-2.0822282415845312,-1.748415988313637,-1.529285688195021,-2.0932800853649844,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
