OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
183,30,60,44223.5,7.3,HW,DE,2,0.01158,,,,
184,30,143,87297.8,7.7,HW,B,2,0.01158,,,,
185,30,162,95701.1,7.8,HW,B,2,0.01158,,,,
186,30,28,103398.3,6.9,HW,B,2,0.01158,,,,
187,33,70,51095.8,7.4,HW,D,2,0.015736,,,,
188,33,49,84071.1,7.2,HW,D,2,0.015736,,,,
189,33,72,93832.3,7.4,HW,D,2,0.015736,,,,
190,33,55,95513.4,7.3,HW,B,2,0.015736,,,,
191,33,68,97596.6,7.4,HW,B,2,0.015736,,,,
192,33,24.633328,103126.2,6.9,HW,B,2,0.015736,,,,
193,33,24.723261,106759.4,6.9,HW,B,2,0.015736,,,,
194,34,56.215053,167.3,7.3,FW,B,2,0.042306,,,,
195,34,101,9853.9,7.6,HW,B,2,0.042306,,,,
196,34,70,17397.9,7.4,HW,B,2,0.042306,,,,
197,34,41,25801.0,7.1,HW,B,2,0.042306,,,,
198,34,42.07241,30636.4,7.1,HW,D,2,0.042306,,,,
199,34,34,42549.3,7.0,HW,B,2,0.042306,,,,
200,34,29,42695.4,6.9,HW,CD,2,0.042306,,,,
201,34,25,48470.0,6.9,HW,OTHER,2,0.042306,,,,
202,34,7,49735.7,6.2,HW,B,2,0.042306,,,,
203,34,68,53231.2,7.4,HW,B,2,0.042306,,,,
204,34,19,60867.7,6.7,HW,B,2,0.042306,,,,
205,34,59.978704,66745.9,7.3,HW,D,2,0.042306,,,,
206,34,60,69176.7,7.3,HW,D,2,0.042306,,,,
207,34,126,70276.3,7.7,HW,B,2,0.042306,,,,
208,34,115,71488.9,7.6,HW,B,2,0.042306,,,,
209,34,49,75069.6,7.2,HW,B,2,0.042306,,,,
210,34,72,78550.9,7.4,HW,DE,2,0.042306,,,,
211,34,60,83547.8,7.3,HW,B,2,0.042306,,,,
212,34,24.633328,86021.0,6.9,HW,B,2,0.042306,,,,
213,34,82,88866.5,7.5,HW,B,2,0.042306,,,,
214,34,32.708688,92068.0,7.0,HW,B,2,0.042306,,,,
215,34,4,95559.1,5.9,HW,CD,2,0.042306,,,,
216,34,55,96052.8,7.3,HW,B,2,0.042306,,,,
217,34,24.723261,102542.5,6.9,HW,D,2,0.042306,,,,
218,34,44,102667.2,7.2,HW,B,2,0.042306,,,,
219,35,20,53856.6,6.8,HW,B,2,0.0073108,,,,
220,35,37,73886.5,7.1,HW,B,2,0.0073108,,,,
221,36,20,25916.7,6.8,HW,DE,2,0.0052649,,,,
222,36,37,62521.0,7.1,HW,B,2,0.0052649,,,,
223,36,2,97296.4,5.6,HW,B,2,0.0052649,,,,
224,37,20,27162.2,6.8,HW,D,2,0.0052394,,,,
225,37,37,63774.6,7.1,HW,DE,2,0.0052394,,,,
226,37,2,97279.2,5.6,HW,DE,2,0.0052394,,,,
227,38,40,77242.3,7.1,HW,DE,2,0.0037073,,,,
228,41,20,41209.1,6.8,HW,B,2,0.0042022,,,,
229,41,37,56605.8,7.1,HW,B,2,0.0042022,,,,
230,41,2,67745.6,5.6,HW,D,2,0.0042022,,,,
231,41,9,100881.9,6.3,FW,B,2,0.0042022,,,,
232,44,101,40549.3,7.6,HW,C,2,0.024987,,,,
233,44,34,46288.2,7.0,HW,CD,2,0.024987,,,,
234,44,41,56186.1,7.1,HW,B,2,0.024987,,,,
235,44,56.215053,56400.9,7.3,HW,OTHER,2,0.024987,,,,
236,44,60,57082.6,7.3,HW,B,2,0.024987,,,,
237,44,59.978704,57887.8,7.3,HW,B,2,0.024987,,,,
238,44,115,65666.9,7.6,HW,B,2,0.024987,,,,
239,44,70,68405.1,7.4,HW,B,2,0.024987,,,,
240,44,25,74505.5,6.9,HW,C,2,0.024987,,,,
241,44,82,75686.6,7.5,HW,D,2,0.024987,,,,
242,44,126,79870.6,7.7,HW,B,2,0.024987,,,,
243,44,42.07241,86779.1,7.1,HW,B,2,0.024987,,,,
244,44,60,94437.0,7.3,HW,D,2,0.024987,,,,
245,44,29,97638.2,6.9,HW,B,2,0.024987,,,,
246,44,32.708688,104423.1,7.0,HW,B,2,0.024987,,,,
247,44,7,106326.5,6.2,HW,B,2,0.024987,,,,
248,45,38,12565.0,7.1,HW,B,2,0.047048,,,,
249,45,26,14321.6,6.9,HW,B,2,0.047048,,,,
250,45,66,15821.7,7.4,HW,D,2,0.047048,,,,
251,45,25,16276.5,6.9,HW,D,2,0.047048,,,,
252,45,44,22589.7,7.2,HW,OTHER,2,0.047048,,,,
253,45,2,29575.9,5.6,HW,B,2,0.047048,,,,
254,45,11,34557.7,6.4,HW,B,2,0.047048,,,,
255,45,62,34776.0,7.3,HW,B,2,0.047048,,,,
256,45,78,35073.2,7.4,HW,B,2,0.047048,,,,
257,45,25,36891.2,6.9,HW,B,2,0.047048,,,,
258,45,56,37839.4,7.3,HW,CD,2,0.047048,,,,
259,45,50,38235.1,7.2,HW,B,2,0.047048,,,,
260,45,37,40230.1,7.1,HW,B,2,0.047048,,,,
261,45,19,42139.4,6.7,HW,B,2,0.047048,,,,
262,45,34,44023.9,7.0,HW,B,2,0.047048,,,,
263,45,23,45191.4,6.8,HW,B,2,0.047048,,,,
264,45,28,48361.4,6.9,HW,D,2,0.047048,,,,
265,45,53,58025.5,7.2,HW,B,2,0.047048,,,,
266,45,14,62066.9,6.6,HW,B,2,0.047048,,,,
267,45,34,62492.3,7.0,HW,B,2,0.047048,,,,
268,45,30,62567.0,7.0,HW,D,2,0.047048,,,,
269,45,23,62703.8,6.8,HW,B,2,0.047048,,,,
270,45,24,64751.5,6.8,HW,DE,2,0.047048,,,,
271,45,38,66073.9,7.1,HW,B,2,0.047048,,,,
272,45,14,66473.4,6.6,HW,B,2,0.047048,,,,
273,45,55,93788.7,7.3,HW,B,2,0.047048,,,,
274,45,23,94500.6,6.8,HW,D,2,0.047048,,,,
275,45,12,97667.3,6.5,HW,B,2,0.047048,,,,
276,45,14,101579.4,6.6,HW,B,2,0.047048,,,,
277,46,38,40481.9,7.1,HW,B,1,0.017605,,,,
278,46,19,44136.6,6.7,HW,B,1,0.017605,,,,
279,46,31,75367.1,7.0,HW,B,1,0.017605,,,,
280,46,14.25,84522.8,6.6,HW,D,1,0.017605,,,,
281,47,19,41531.1,6.7,HW,B,1,0.017778,,,,
282,47,38,41665.7,7.1,HW,B,1,0.017778,,,,
283,47,31,80240.6,7.0,HW,B,1,0.017778,,,,
284,47,14.25,83745.7,6.6,HW,B,1,0.017778,,,,
285,50,20,70391.9,6.8,HW,B,1,0.014641,,,,
286,50,3,86101.9,5.8,HW,C,1,0.014641,,,,
287,51,20,98821.2,6.8,HW,B,2,0.0081276,,,,
288,55,40,56943.1,7.1,HW,B,2,0.0042121,,,,
289,56,123,7765.6,7.7,HW,B,2,0.023137,,,,
290,56,66,21159.2,7.4,HW,B,2,0.023137,,,,
291,56,45,31205.5,7.2,HW,B,2,0.023137,,,,
292,56,31,35214.9,7.0,HW,B,2,0.023137,,,,
293,56,16,39708.0,6.6,HW,B,2,0.023137,,,,
294,56,30,46146.6,7.0,HW,C,2,0.023137,,,,
295,56,162,50658.9,7.8,HW,DE,2,0.023137,,,,
296,56,19,51486.8,6.7,HW,B,2,0.023137,,,,
297,56,18,62277.2,6.7,HW,D,2,0.023137,,,,
298,56,15,68387.1,6.6,HW,B,2,0.023137,,,,
299,56,54,71144.8,7.3,HW,B,2,0.023137,,,,
300,56,15,75303.6,6.6,HW,OTHER,2,0.023137,,,,
301,56,60,75865.0,7.3,HW,OTHER,2,0.023137,,,,
302,56,42,79417.1,7.1,HW,C,2,0.023137,,,,
303,56,82,80071.8,7.5,HW,B,2,0.023137,,,,
304,56,26,86793.1,6.9,HW,B,2,0.023137,,,,
305,56,52,88331.9,7.2,HW,B,2,0.023137,,,,
306,56,114,89580.5,7.6,HW,B,2,0.023137,,,,
307,56,14,90417.4,6.6,HW,B,2,0.023137,,,,
308,56,35,93129.6,7.0,HW,B,2,0.023137,,,,
309,56,23,100687.8,6.8,HW,DE,2,0.023137,,,,
310,57,37,31254.5,7.1,HW,B,2,0.0042086,,,,
311,57,20,52184.2,6.8,HW,B,2,0.0042086,,,,
312,57,2,64146.0,5.6,HW,B,2,0.0042086,,,,
313,57,9,68442.3,6.3,HW,B,2,0.0042086,,,,
314,57,27,90042.2,6.9, FW,D,2,0.0042086,,,,
315,58,37,27621.5,7.1,HW,B,2,0.0041508,,,,
316,58,20,59379.1,6.8,HW,B,2,0.0041508,,,,
317,58,9,61514.8,6.3,HW,B,2,0.0041508,,,,
318,58,2,62654.0,5.6,HW,B,2,0.0041508,,,,
319,58,27,81865.6,6.9,HW,B,2,0.0041508,,,,
320,59,37,10884.3,7.1,HW,B,2,0.0045623,,,,
321,59,9,31925.3,6.3, FW,B,2,0.0045623,,,,
322,59,20,70512.0,6.8,HW,B,2,0.0045623,,,,
323,59,27,75488.0,6.9,FW,D,2,0.0045623,,,,
324,59,44,79572.9,7.2,HW,B,2,0.0045623,,,,
325,59,2,97440.6,5.6,HW,B,2,0.0045623,,,,
326,60,4,61048.1,5.9,HW,B,2,0.019552,,,,
327,60,60,70994.0,7.3,HW,B,2,0.019552,,,,
328,60,19,77090.4,6.7,HW,B,2,0.019552,,,,
329,60,72,84919.6,7.4,HW,D,2,0.019552,,,,
330,60,44,89721.7,7.2,HW,B,2,0.019552,,,,
331,60,70,89947.8,7.4,HW,B,2,0.019552,,,,
332,60,42.07241,94936.0,7.1,HW,B,2,0.019552,,,,
333,60,32.708688,102788.1,7.0,HW,B,2,0.019552,,,,
334,60,126,103373.8,7.7,HW,D,2,0.019552,,,,
335,60,25,103859.2,6.9,HW,B,2,0.019552,,,,
336,61,37,14443.4,7.1,HW,B,2,0.0048724,,,,
337,61,9,35409.5,6.3,FW,D,2,0.0048724,,,,
338,61,20,66662.9,6.8,HW,B,2,0.0048724,,,,
339,61,44,78829.6,7.2,HW,B,2,0.0048724,,,,
340,61,27,81136.7,6.9,HW,B,2,0.0048724,,,,
341,61,2,102545.1,5.6,HW,B,2,0.0048724,,,,
342,62,12,80426.9,6.5,HW,B,2,0.0052088,,,,
343,62,104,107230.9,7.6,HW,B,2,0.0052088,,,,
344,63,12,28058.8,6.5,HW,B,2,0.023786,,,,
345,63,48,34146.8,7.2,HW,B,2,0.023786,,,,
346,63,53,41636.0,7.2,HW,B,2,0.023786,,,,
347,63,109,45068.8,7.6,HW,B,2,0.023786,,,,
