# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
109.68362,-9.37246,6.178873E-01,1.090000E+00
109.68587,-10.45164,6.576179E-01,1.090000E+00
109.68838,-11.53083,1.552638E-01,3.222931E-01
109.69116,-12.61001,7.491674E-02,1.708879E-01
109.69421,-13.68920,4.087283E-02,9.058447E-02
109.69749,-39.31987,1.920417E-04,4.208948E-03
109.70067,-15.71267,1.966626E-02,3.939591E-02
109.70433,-39.99436,0.000000E+00,2.142526E-03
109.70815,-17.73615,1.432126E-02,3.337226E-02
109.71200,-18.68043,1.457201E-02,3.544719E-02
109.71609,-19.62472,8.976131E-03,3.347779E-02
109.72042,-20.56901,8.200846E-03,3.378189E-02
109.72500,-21.51330,8.658808E-03,4.255188E-02
109.72984,-22.45759,1.004029E-02,4.437568E-02
109.73495,-23.40187,1.193736E-02,4.617789E-02
109.74033,-24.34616,1.440522E-02,4.963117E-02
109.74557,-43.63661,0.000000E+00,0.000000E+00
109.75108,-26.09984,1.617312E-02,4.961067E-02
109.75730,-27.04413,1.420135E-02,5.462316E-02
109.76291,-44.98559,0.000000E+00,0.000000E+00
109.76968,-28.79780,1.061722E-02,4.678658E-02
109.77579,-45.92988,0.000000E+00,0.000000E+00
109.78542,-30.82128,6.280160E-03,2.781373E-02
109.79683,-32.17026,9.355667E-03,3.324758E-02
109.80903,-33.51924,3.062467E-02,1.029173E-01
109.81514,-6.80939,1.130072E-01,2.326398E-01
109.81712,-7.88858,2.205550E-01,5.065095E-01
109.81941,-8.96776,5.485482E-01,1.090000E+00
109.82208,-34.86822,1.892649E-02,6.165997E-02
109.82489,-11.12613,2.168776E-01,4.928409E-01
109.82811,-12.20532,1.032877E-01,2.237762E-01
109.83164,-13.28451,5.191767E-02,1.176577E-01
109.83501,-14.22879,3.237918E-02,7.085554E-02
109.83893,-36.48700,4.900411E-03,2.146258E-02
109.84308,-16.25227,1.734640E-02,3.401377E-02
109.84727,-17.19655,1.461000E-02,2.919118E-02
109.85173,-18.14084,1.517995E-02,3.909262E-02
109.85647,-19.08513,1.381405E-02,3.703430E-02
109.86150,-20.02942,9.865706E-03,3.455333E-02
109.86682,-20.97370,8.976734E-03,4.018435E-02
109.87186,-39.31987,3.038783E-04,4.817005E-03
109.87753,-22.72738,1.069224E-02,4.622775E-02
109.88375,-23.67167,1.340576E-02,4.784520E-02
109.88934,-24.48106,1.623657E-02,4.956673E-02
109.89619,-25.42535,1.745381E-02,5.089212E-02
109.90234,-26.23474,1.725829E-02,5.051517E-02
109.90980,-42.15273,0.000000E+00,0.000000E+00
109.91659,-27.98841,1.349496E-02,5.095755E-02
109.92371,-43.09702,0.000000E+00,0.000000E+00
109.93196,-43.63661,0.000000E+00,0.000000E+00
109.93987,-30.55148,6.919418E-03,3.390026E-02
109.94787,-31.36087,8.080781E-03,2.946448E-02
109.95127,-6.94429,1.206984E-01,2.410587E-01
109.95338,-31.90046,8.558529E-03,3.265730E-02
109.95589,-45.12049,0.000000E+00,0.000000E+00
109.95820,-9.77715,9.090003E-01,1.090000E+00
109.96106,-10.72144,3.335285E-01,8.471094E-01
109.96420,-11.66573,1.475051E-01,3.004430E-01
109.96739,-45.79498,0.000000E+00,0.000000E+00
109.97079,-13.41940,4.920069E-02,1.124720E-01
109.97417,-14.22879,3.289014E-02,7.195395E-02
109.97839,-15.17308,2.328746E-02,4.810951E-02
109.98292,-16.11737,1.817966E-02,3.579035E-02
109.98776,-17.06166,1.516868E-02,3.016056E-02
109.99292,-18.00594,1.553844E-02,4.009845E-02
109.99809,-35.81251,8.604339E-03,3.023553E-02
110.00337,-19.75962,1.084290E-02,3.766868E-02
110.00948,-20.70391,9.469409E-03,3.936599E-02
110.01563,-37.16149,3.717067E-03,1.815798E-02
110.02178,-22.45759,1.107951E-02,4.629191E-02
110.02861,-38.10578,1.830604E-03,1.206946E-02
110.03536,-24.21126,1.660977E-02,5.003892E-02
110.04223,-39.05007,6.311408E-04,6.605091E-03
110.05030,-39.58966,1.819240E-04,4.399128E-03
110.05768,-26.77433,1.769520E-02,5.551832E-02
110.06538,-27.58372,1.453781E-02,5.496892E-02
110.07365,-41.07354,0.000000E+00,0.000000E+00
110.08258,-41.61314,0.000000E+00,0.000000E+00
110.08685,-6.80939,1.077803E-01,2.241574E-01
110.08914,-7.75368,1.980303E-01,4.026949E-01
110.09176,-42.15273,0.000000E+00,0.000000E+00
110.09465,-9.64225,7.640526E-01,1.090000E+00
110.09787,-10.58654,5.176203E-01,1.090000E+00
110.10113,-30.95617,7.547431E-03,3.388205E-02
110.10426,-31.22597,8.179188E-03,3.233527E-02
110.10824,-13.14961,5.914170E-02,1.414399E-01
110.11203,-13.95900,3.797702E-02,8.299922E-02
110.11585,-43.50171,0.000000E+00,0.000000E+00
110.12034,-15.57778,2.106225E-02,4.233095E-02
110.12411,-16.25227,1.785871E-02,3.544564E-02
110.12887,-17.06166,1.568213E-02,3.190893E-02
110.13374,-44.44600,0.000000E+00,0.000000E+00
110.13830,-18.54554,1.701651E-02,4.002283E-02
110.14346,-34.32863,3.645046E-02,1.096691E-01
110.14866,-20.02942,1.149161E-02,4.270640E-02
110.15369,-20.70391,1.012974E-02,4.135670E-02
110.15893,-21.37840,1.075818E-02,4.497706E-02
110.16444,-35.81251,9.274229E-03,3.370746E-02
110.17043,-36.21721,6.947169E-03,3.013560E-02
110.17833,-23.67167,1.491703E-02,5.188825E-02
110.18579,-24.48106,1.889230E-02,5.617551E-02
110.19359,-25.29045,2.091623E-02,5.813603E-02
110.20227,-38.24068,1.869885E-03,1.269634E-02
110.21132,-38.78027,1.102241E-03,8.990399E-03
110.22060,-27.85352,1.484517E-02,5.439090E-02
110.22306,-6.94429,1.157875E-01,2.316215E-01
110.22568,-7.88858,2.122627E-01,4.280668E-01
110.22866,-8.83286,4.990153E-01,1.090000E+00
110.23198,-9.77715,7.600882E-01,1.090000E+00
110.23511,-10.58654,5.187976E-01,1.090000E+00
110.23909,-11.53083,1.697773E-01,3.528132E-01
110.24280,-12.34022,1.017973E-01,2.237050E-01
110.24678,-13.14961,6.055232E-02,1.460679E-01
110.25103,-13.95900,3.855079E-02,8.425177E-02
110.25517,-41.20844,0.000000E+00,0.000000E+00
110.26022,-31.09107,8.359441E-03,3.745932E-02
110.26462,-16.25227,1.812753E-02,3.612703E-02
110.26932,-31.76556,9.678636E-03,3.782826E-02
110.27467,-17.73615,1.625676E-02,4.131715E-02
110.27958,-18.41064,1.840863E-02,4.013771E-02
110.28473,-42.69232,0.000000E+00,0.000000E+00
110.29044,-33.24944,3.668530E-02,1.108408E-01
110.29648,-33.65414,3.818155E-02,1.119446E-01
