EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN
2005-04-12T12:00:02.000000Z,ga2005heifji,117.005,-30.564,0,4,MLa,nan,3.2796771,0.162365668,0.10143221,0.442606937,1.823472494,0.717661712,14,0.8,8,0,3.13,3.037,CBGZ
2005-05-01T09:43:16.000000Z,ga2005inamfx,117.912,-30.194,2.7,4.1,ML,nan,3.667769018,0.235661559,0.377961651,0.550136353,1.808328003,0.6076386,6,1.2,7,0,3.875,3.782,CBGZ
2005-05-14T19:53:05.000000Z,ga2005jlrdee,139.153,-31,13.7,4.5,ML,nan,4.446698251,0.160893241,3.022757753,0.469327356,1.475019606,0.487466541,19,0.3,8,1,4.503,4.417,NCBM
2005-05-18T23:39:47.000000Z,ga2005jthoaw,119.374,-20.108,25.8,4.6,ML,nan,4.244360749,0.280031003,19.96456551,0.207784712,3.49343004,1.792550509,3,0.7,10,0,4.716,4.624,CBGZ
2005-06-12T10:51:19.000000Z,ga2005lmffvp,117.108,-30.802,2.3,4.3,MLa,nan,3.429944714,0.179105377,1.422908015,0.557305373,3.699125414,1.613165825,6,0.8,12,1,3.663,3.556,CBGZ
2005-06-12T20:36:44.000000Z,ga2005lmyqht,117.03,-30.558,7.6,4.5,ML,nan,3.846494464,0.186134174,1.698846215,0.384850033,2.429311806,0.519958975,5,1.1,10,1,4.28,4.171,CBGZ
2005-09-14T05:12:22.000000Z,ga2005scigmm,134.102,-19.868,10,4.4,ML,nan,4.374414173,0.127772413,2.111744124,0.569391536,1.422391502,0.569850619,5,0.4,6,1,nan,nan,CBGZ
2005-09-21T22:46:41.000000Z,ga2005sqnhek,117.159,-30.148,2,4,ML,nan,4.336191067,0.278351922,0.238752918,0.331662129,0.718731204,0.27375431,5,0.03,5,1,4.234,4.148,CBGZ
2005-09-22T03:52:59.000000Z,ga2005sqxlcz,117.173,-30.126,3,4.1,ML,nan,3.833542094,0.13030171,1.190960854,0.40745445,2.190486527,1.152295586,5,0.5,5,1,4.097,4,CBGZ
2005-09-22T18:34:34.000000Z,ga2005ssaqur,117.159,-30.142,4.5,3.9,MLa,nan,3.509887395,0.072919901,0.484899398,0.45408749,2.356600622,1.206354162,7,0.8,12,1,3.552,3.457,CBGZ
2006-02-04T16:31:57.000000Z,ga2006clrosl,148.183,-37.564,2.2,3.9,MLa,nan,3.778473761,0.247097736,1.020559165,0.535205614,2.216775192,1.040731677,11,0.5,12,1,3.888,3.796,NCBM
2006-05-13T01:04:46.000000Z,ga2006jijzzp,135.723,-27.657,7.1,5.1,ML,nan,4.22768157,0.150563374,3.04515914,0.331806137,1.902720585,0.353440492,4,0.5,7,1,nan,nan,CBGZ
2006-06-06T15:34:09.000000Z,ga2006lboghd,117.44,-25.032,5.5,4.5,ML,nan,4.143530268,0.131283768,1.300397164,0.34709291,1.578602094,0.42048776,9,0.6,8,1,4.455,4.369,CBGZ
2006-07-07T23:48:13.000000Z,ga2006nhcdhy,138.682,-31.381,19.3,4,ML,nan,3.650161707,0.040630828,4.346738791,0.184828045,4.165362455,0.829918467,3,0.8,10,2,3.857,3.765,NCBM
2006-09-29T12:49:47.000000Z,ga2006telhwb,145.01,-44.36,8.5,4.4,ML,nan,4.132028393,0.368784727,0.259830342,0.435917043,0.935179323,0.521379017,5,1,8,0,nan,nan,EBGZ
2006-10-21T09:51:49.000000Z,ga2006uspjwe,149.16,-34.036,15,4.2,ML,nan,3.97236805,0.130503014,3.652939249,0.350409433,2.712538613,0.8784142,8,0.8,5,1,4.237,4.147,NCBM
