PLACE,LON,LAT,2007PGA_500-YR,2012PGA_500-YR,2018PGA_475-YR,2018PGA_500-YR,2007/2012 %DIFF,2007/2018 %DIFF, 2012/2018 %DIFF,2007PGA_1500-YR,2018PGA_1500-YR,2007PGA_2500-YR,2012PGA_2500-YR,2018PGA_2475-YR,2018PGA_2500-YR,2007/2018_2500 %DIFF,2012/2018_2500 %DIFF,2007(10%)/2018(2%) %DIFF
Wangaratta,146.31,-36.36,0.09,0.055,0.021,0.022,-38.67,-75.65,-60.3,0.135,0.046,0.162,0.151,0.063,0.063,-61.154,-58.351,-30.076
Warragul,145.93,-38.17,nan,nan,0.057,0.06,nan,nan,nan,nan,0.135,nan,nan,0.19,0.192,nan,nan,nan
Whyalla,137.56,-33.03,0.09,0.045,0.022,0.023,-49.78,-74.63,-49.49,0.135,0.045,0.162,0.129,0.061,0.061,-62.128,-52.329,-31.831
Wickepin,117.5,-32.78,0.15,0.073,0.053,0.055,-51,-63.29,-25.08,0.225,0.128,0.27,0.22,0.184,0.186,-31.24,-15.575,23.767
Wollongong,150.9,-34.41,0.09,0.055,0.024,0.025,-38.44,-71.87,-54.3,0.135,0.053,0.162,0.155,0.072,0.073,-55.18,-53.186,-19.324
Wongan Hills,116.71,-30.9,0.15,0.073,0.077,0.08,-51.4,-46.56,9.97,0.225,0.184,0.27,0.217,0.26,0.262,-3.085,20.641,74.447
Woomera,136.82,-31.22,0.08,0.029,0.011,0.011,-63.5,-86.08,-61.85,0.12,0.022,0.144,0.093,0.029,0.029,-79.581,-68.349,-63.245
Wyndham,128.11,-15.48,0.09,0.032,0.026,0.027,-65,-69.76,-13.59,0.135,0.056,0.162,0.1,0.078,0.079,-51.26,-21.041,-12.268
York,116.76,-31.88,0.14,0.098,0.062,0.064,-30.21,-53.99,-34.07,0.21,0.153,0.252,0.268,0.219,0.22,-12.572,-17.761,57.371
Yulara,130.97,-25.21,nan,nan,0.029,0.03,nan,nan,nan,nan,0.069,nan,nan,0.099,0.1,nan,nan,nan
