FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--5708c50e_170e4f7b976_-31f6,653601,141.89,123.71,15.8348,2.2507,SE of Cessnock; NSW.,,,FINL,2015-05-27T16:10:51,ga2015juukps,2015-05-27T16:14:00,-32.9515,151.3942,,,2.3,,,,,,,,,1166081,2015-05-19T19:12:31,0.3,7,2.3,ML,4.9576,2.1275,AUST,0.3347,5
earthquakes.fid--5708c50e_170e4f7b976_-31f5,653566,205.11,163.95,10,0,N of Lithgow; NSW.,,,FINL,2015-05-12T10:35:03,ga2015jfxknl,2015-05-12T11:06:54,-33.3354,150.1572,,,2.3,,,,,,,,,1158496,2015-05-11T16:35:48,2.01,9,2.3,ML,22.8334,8.645,AUST,0.5303,5
earthquakes.fid--5708c50e_170e4f7b976_-31f4,648811,128.84,43.12,19.6511,0.0764,NW of Boorowa; NSW.,,,FINL,2012-06-14T11:01:05,ga2012lqdzai,2012-06-14T11:23:27,-34.3724,148.6283,,,2.31,3.18,,,,,,,,612195,2012-06-13T14:31:08,0,16,2.31,ML,0.1763,0.0938,AUST,0.7531,8
earthquakes.fid--5708c50e_170e4f7b976_-31f3,652442,158.1,113.04,0,0,Near Frogmore; NSW.,,,FINL,2014-10-17T09:10:01,ga2014ujqgdg,2014-10-17T09:17:40,-34.2384,148.9609,,,2.33,,,,,,,,,1067627,2014-10-16T12:37:23,0.22,15,2.33,ML,1.8855,1.4958,AUST,0.3812,9
earthquakes.fid--5708c50e_170e4f7b976_-31f2,654090,180.45,16.46,0,0,N of Windsor; NSW.,,,FINL,2015-09-29T15:20:51,ga2015svmsmn,2015-09-29T15:23:21,-33.0301,150.6472,,,2.34,,,,,,,,,1212408,2015-09-24T15:52:01,2.01,10,2.34,ML,18.8916,10.0431,AUST,0.8256,7
earthquakes.fid--5708c50e_170e4f7b976_-31f1,650988,177.08,57.46,0,0,Near Singleton; NSW.,,,FINL,2013-11-26T12:45:04,ga2013xetkpo,2013-11-28T09:42:46,-32.6053,151.0832,,,2.34,4.2,,,,,,,,847693,2013-11-25T08:39:48,0.84,8,2.34,ML,7.8389,3.9993,AUST,0.3724,6
earthquakes.fid--5708c50e_170e4f7b976_-31f0,650221,162.29,261.54,3.0991,0.9001,Near Orange; NSW.,,,FINL,2013-05-16T10:15:03,ga2013jlavfk,2013-05-16T10:17:14,-33.0372,149.3524,,,2.34,2.62,,,,,,,,760604,2013-05-14T11:41:06,0.09,7,2.34,ML,0.4475,0.1665,AUST,0.3434,5
earthquakes.fid--5708c50e_170e4f7b976_-31ef,654357,88.7,117.64,13.2976,9.0092,Near Katoomba; NSW.,,,FINL,2015-12-18T12:55:04,ga2015yujxtg,2015-12-18T12:59:59,-33.8365,150.4127,,,2.36,,,,,,,,,1250784,2015-12-18T01:01:18,1.12,24,2.36,ML,8.9103,5.719,AUST,0.7216,14
earthquakes.fid--5708c50e_170e4f7b976_-31ee,652789,327.05,103.57,0,0,Near Cessnock; NSW.,,,FINL,2015-01-12T11:40:16,ga2015arqmsa,2015-01-12T11:49:05,-32.8467,151.4559,,,2.36,2.58,,,,,,,,1108156,2015-01-10T14:33:34,4.22,8,2.36,ML,33.7028,28.58,AUST,1.1472,6
earthquakes.fid--5708c50e_170e4f7b976_-31ed,652429,113.49,86.95,0,0,Near Muswellbrook; NSW.,,,FINL,2014-10-14T09:20:03,ga2014uejuws,2014-10-14T10:29:56,-32.3207,150.9186,,,2.36,3.02,,,,,,,,1066179,2014-10-13T16:00:55,0.37,18,2.36,ML,7.5207,2.6328,AUST,0.9258,12
