STA,KAPPA,CNT
EUGY,nan,1
EUSH,-0.044808,1
FA10,-0.015660,2
FA12,0.044749,1
FA13,0.032030,1
FA14,-0.020269,1
FA15,0.001817,1
FA18,0.005100,1
FA19,0.022597,1
FA20,-0.000876,1
FA22,0.049865,1
FA24,-0.004116,1
FA26,0.015135,1
FA27,0.003574,2
FA28,0.015438,1
FA29,0.014337,1
FA30,0.010673,1
FA31,-0.008115,1
FA33,-0.076356,1
FA34,0.001371,1
FA35,-0.009182,1
FA36,0.007537,1
FA38,-0.007119,1
FA39,0.001552,1
FAW,-0.047736,1
FB00,-0.062466,1
FB01,0.018377,1
FB02,0.009536,2
FB03,0.013367,2
FB04,-0.050150,2
FB05,-0.010678,1
FB06,0.034572,2
FB07,0.008119,1
FB08,-0.006401,2
FB09,0.027701,1
FC40,-0.048493,1
FC42,0.015228,1
FC43,-0.006544,1
FD50,0.006831,1
FD51,0.042796,1
FD52,0.025802,1
FD53,0.028330,1
FD54,-0.046530,1
FD56,-0.024133,1
FD58,-0.006433,1
FD61,-0.013129,1
FD62,0.030232,1
FD66,0.013348,1
FD67,-0.019612,1
FINNS,0.009610,2
FITZ,0.015071,73
FORG,0.016686,4
FORT,0.019559,138
FR02,-0.025103,2
FR03,-0.036701,2
FR05,-0.028351,3
FR06,0.011638,1
FR09,-0.023348,3
FR10,-0.010826,3
FR13,-0.027345,3
FR14,-0.049069,2
FR15,-0.004302,1
FR16,-0.019930,3
FR18,0.002664,2
FR21,0.031721,1
FR26,0.013837,1
FR27,0.019464,4
FRTM,-0.007040,8
FSH,0.009528,10
FSHM,0.009528,10
FTZ,0.002442,5
FTZM,0.002442,5
GA05,-0.006906,1
GA07,0.006349,1
GA08,-0.033878,1
GC1S,nan,3
GC2F,0.024496,17
GD1S,0.181556,13
GEES,0.043994,3
GEXS,0.037516,30
GHS,-0.042364,18
GHSS,-0.042364,18
GIRL,0.048782,67
GLAD,0.026687,19
GLADS,0.004044,4
GLB,0.012715,2
GLEAD,0.011310,2
GLMM,-0.031471,10
GNGN,-0.015783,9
GOG,0.031210,13
GOGM,0.031210,13
GOO,-0.016809,1
GOOG,0.031733,15
GRV,0.002755,4
GRVM,0.002755,4
GVL,-0.009091,50
HBART,0.016941,2
HDDL,0.041668,1
HEX,0.014315,1
HGB,0.005015,1
HKER,0.017564,4
HML1,-0.006133,22
HODL,-0.004467,2
HOLS,-0.013640,5
HOP,-0.013612,20
HOPM,-0.013612,20
HPS15,0.000431,1
HTT,0.007202,66
HUM,-0.005555,1
HWK,0.017387,2
INKA,0.021716,45
IVS,-0.021863,14
IVSM,-0.021863,14
JBD,-0.010729,3
JBR,-0.017357,4
JBRM,-0.017357,4
JEER,-0.085411,6
JEN,0.017066,11
JENM,0.017066,11
KA02,-0.017554,1
KA03,-0.010899,1
KA05,-0.054334,1
KA07,-0.042439,1
KA08,0.013141,1
KA09,-0.044513,1
KA10,-0.012048,1
KAKA,0.041349,22
KAN,-0.006066,9
KANM,-0.006066,9
KDU,0.038183,44
KELC,-0.019521,24
KIM,0.076155,1
KIM01,0.000222,10
KIM02,0.039040,5
KIM03,0.012579,12
KIM04,-0.003447,11
KIM05,0.028699,11
KIM06,0.033613,6
KIM07,0.036099,8
KIM08,-0.027944,13
KIM09,0.022123,10
KIM10,-0.064591,2
KLBR,-0.016867,135
KLG,-0.046716,3
KLGGI,0.025113,14
KLGHH,-0.014188,12
KLGHS,0.014243,19
KMBL,-0.039379,107
KNA,0.006578,11
KNRA,-0.022452,58
KOO1,-0.024382,4
KOO2,-0.040494,1
KOOTA,0.068066,2
KORDA,-0.028438,19
KORUM,0.000039,9
KOW,-0.005538,2
KOWA,nan,1
KOWM,-0.005538,2
KPK,0.036662,1
KRAN,0.003368,2
KTL,0.015754,4
LBX,-0.005068,5
LBXM,-0.005068,5
LCRK,0.020932,57
LEAH,-0.002674,2
LGT,-0.005102,3
LHB,0.021274,3
LHBM,0.021274,3
LILL,0.029441,1
LM01,-0.014416,4
LM02,-0.002684,3
LM03,-0.044410,6
LM04,nan,7
LM05,-0.002243,5
LOCU,0.014649,6
LOS,0.065898,2
LOSM,0.065898,2
LP01,-0.003445,1
LP02,0.008301,1
LP03,-0.005846,1
LP04,0.004787,1
LP05,0.029407,1
LRSE,0.042195,3
LRSH,0.022177,6
MABG,0.006014,28
MACM,0.000290,4
MALDN,0.008869,1
MARD,0.001748,6
MARG,-0.033879,3
MBWA,0.013473,66
MCV,0.010269,2
MDRM,0.007196,2
MEEK,-0.007523,156
MEM,-0.021393,1
MENZ,-0.029514,11
MERNA,-0.042442,2
MGBR,0.113058,17
MGCD,0.026197,78
MHL,0.035779,1
MIC,0.013891,4
MILA,-0.001285,69
MILCK,nan,2
MILD,-0.019211,5
MIT,0.004553,4
MLBS,-0.002716,11
MLW,-0.002915,15
MLWM,-0.002915,15
MOE4,0.035445,1
MOGAR,-0.056301,8
MOO,0.043626,14
MOON,-0.027449,2
MORW,-0.009415,127
MPD,-0.030754,4
MPDM,-0.030754,4
MR2A,0.022279,5
MRAT,-0.010616,21
MRDN,-0.017050,1
MSWL1,0.041878,5
MSWL2,0.006662,7
MSWL3,0.006900,7
MSWL5,0.039658,7
MTEBA,-0.077733,1
MTKN,0.086245,58
MTL,0.026890,1
MTLX,0.036136,1
MTLYN,-0.132230,2
MTLZ,-0.013431,1
MTN,0.032727,49
MTSU,-0.004136,43
MULG,-0.009427,65
MULGA,0.010259,2
MUN,0.017957,88
MUR03,0.082579,1
MUR04,0.069402,1
MUR05,0.090819,1
NAP,0.022475,76
NAPP,0.022475,76
NAR,-0.045464,7
NARM,-0.045464,7
NARR,0.044885,5
NAT,0.007447,5
NATM,0.007447,5
NILPI,0.097627,1
NLD,0.061493,1
NOR10,-0.062557,1
NOR11,-0.026396,1
NOR12,-0.083677,1
NPS,0.045071,1
NTLH,-0.063571,27
NTLS,0.039355,26
NTNOZ,0.003087,1
NWAO,0.027777,114
OKDL,0.022180,34
ONGER,-0.048584,31
OOD,0.045513,62
PARAK,-0.017669,2
PAT,0.011442,5
PDA,0.008581,4
PENW,0.026371,7
PER06,nan,1
PHB,0.053007,31
PHD,0.016946,5
PHDM,0.016946,5
PI101,-0.055221,1
PI103,-0.028640,1
PI106,-0.016103,1
PI107,-0.035251,1
PI109,-0.024242,1
PI115,-0.046024,1
PI201,-0.012080,1
PI203,-0.033816,1
PI204,-0.033752,1
PI205,-0.032165,1
PI206,-0.036669,1
PI207,-0.004941,1
PI208,-0.009395,1
PI209,-0.020592,1
PIG,-0.052006,1
PIG2,0.007576,6
PIG3,-0.072109,6
PIG4,-0.006531,6
PLMR,0.023334,15
POAT,0.007078,3
PSA00,0.024322,37
PTPS,-0.038448,31
QA01,0.042851,2
QIS,0.059331,60
QLP,0.029154,77
R7AF5,0.015220,3
RDK10,0.039159,10
RDK12,0.124143,3
RIV,-0.002343,55
RK1H,0.042565,19
RK2S,0.039299,9
RKGY,0.016063,114
RMQ,0.052811,79
RNDA,0.054601,3
ROBE,0.066402,4
ROWM,0.009587,15
ROY,-0.016422,12
ROYM,-0.016422,12
RP01,-0.030926,1
RP03,-0.014020,1
RP04,-0.039013,1
RP06,0.020876,1
RUSM,0.015755,3
S2A2,0.201825,1
S2A3,0.221503,1
S2B7,0.275050,1
S2B8,0.199545,1
S2B9,0.235912,1
S88U,0.029920,2
