STA,KAPPA,CNT
KOWM,-0.061341,2
KPK,-0.019244,1
KRAN,0.034349,2
KTL,0.088006,1
LBX,-0.019838,3
LBXM,-0.019838,3
LCRK,-0.026403,42
LGT,-0.088916,2
LHB,-0.005406,2
LHBM,-0.005406,2
LILL,0.008591,1
LM01,-0.043363,5
LM02,-0.012591,3
LM03,-0.070606,6
LM04,nan,7
LM05,-0.013887,5
LOS,0.017900,2
LOSM,0.017900,2
LP01,-0.052749,1
LP02,-0.028565,1
LP03,-0.066245,1
LP04,-0.049709,1
LP05,-0.041703,1
LRSE,0.005796,1
LRSH,-0.017641,1
MABG,-0.053292,14
MACM,-0.027693,2
MARD,-0.020931,1
MBWA,-0.039034,63
MCV,0.006090,1
MDRM,0.009732,1
MEEK,-0.098390,124
MEM,-0.067813,1
MENZ,-0.079321,6
MGBR,0.057757,11
MGCD,0.017326,51
MIC,-0.047706,1
MILA,-0.061062,45
MIT,-0.051003,2
MLBS,-0.061268,5
MLWM,-0.019887,3
MOE4,0.055151,1
MOO,0.004514,10
MOON,0.036460,1
MORW,-0.076211,105
MPD,-0.070310,3
MPDM,-0.070310,3
MR2A,-0.012391,1
MTKN,0.051580,42
MTLX,0.008769,1
MTN,-0.020173,45
MTSU,-0.076848,35
MULG,-0.047373,49
MUN,-0.015193,71
MUR03,0.017474,1
MUR04,0.008413,1
MUR05,0.032007,1
NAP,-0.032738,54
NAPP,-0.032738,54
NAR,-0.112441,3
NARM,-0.112441,3
NARR,0.029988,2
NAT,0.002166,3
NATM,0.002166,3
NLD,0.085727,1
NOR10,-0.067242,1
NOR11,-0.006205,1
NOR12,-0.110704,1
NTLH,-0.320439,14
NTLS,-0.005575,15
NTNOZ,-0.057165,1
NWAO,-0.015154,88
OKDL,-0.029628,20
ONGER,-0.104438,18
OOD,0.014319,44
PAT,0.014286,1
PDA,-0.045326,2
PHB,-0.004862,14
PHD,-0.000297,3
PHDM,-0.000297,3
PI101,-0.066736,1
PI103,-0.054313,1
PI106,-0.038673,1
PI107,-0.036922,1
PI109,-0.029738,1
PI115,-0.047648,1
PI201,-0.024580,1
PI203,-0.057215,1
PI204,-0.075067,1
PI205,-0.050506,1
PI206,-0.062698,1
PI207,-0.009458,1
PI208,-0.025056,1
PI209,-0.022529,1
PIG2,0.021172,3
PIG3,-0.122942,3
PIG4,-0.043886,4
PSA00,-0.008752,30
PTPS,-0.086332,20
QA01,-0.009205,2
QIS,-0.024672,54
QLP,-0.023008,62
RDK10,0.030626,1
RIV,-0.018875,37
RK1H,-0.009018,13
RK2S,nan,3
RKGY,-0.061556,87
RMQ,0.006208,59
ROWM,-0.022007,3
ROY,-0.039510,7
ROYM,-0.039510,7
RP01,-0.097442,1
RP03,-0.074208,1
RP04,-0.090879,1
RP06,-0.041363,1
RUSM,-0.042932,1
S2A2,0.149897,1
S2A3,0.142129,1
S2B7,0.239339,1
S2B8,0.129651,1
S2B9,0.200976,1
S88U,-0.030172,2
SB01,nan,1
SC03,-0.091328,1
SC05,-0.064561,2
SC08,-0.096575,1
SC10,-0.067904,1
SCMB,-0.045785,1
SD05,-0.011035,1
SDAN,-0.053182,26
SDN,-0.053182,26
SGTH,-0.033867,1
SHY,0.001223,2
SHYM,0.001223,2
SMBT,0.058386,1
SOC03,0.013910,1
SOC05,0.050311,1
SOC06,0.016097,1
SOC07,-0.033931,1
SOC08,-0.030700,1
SOC09,-0.071086,1
SOC10,-0.096192,1
SOC11,0.050363,1
SOC12,-0.012791,1
SOC13,-0.000971,1
SOC14,-0.029881,1
SOC15,-0.027909,1
SOC16,0.050168,1
STBK,-0.028620,1
STGU,0.048054,1
STK,nan,4
STKA,-0.045243,80
SWH10,-0.070492,2
SWH4,-0.041234,2
SWH5,-0.019447,1
SWH8,-0.022144,2
SWN00,-0.078484,13
SWN01,-0.003801,11
SWN02,-0.032414,12
SWN03,-0.058576,18
SWN04,-0.066976,6
SWN05,-0.013416,13
SWN07,-0.059501,16
SWN08,-0.006781,12
SWN09,-0.055775,12
SWN10,-0.043066,9
SWN11,-0.029243,10
SWN12,-0.073862,15
SWN13,nan,2
SWN14,-0.063466,8
SWN15,-0.006754,20
SWN16,-0.031054,15
SWN17,-0.042785,10
SWN18,0.024272,12
SWN19,-0.107272,7
SWN20,0.003938,9
SWN21,0.006215,13
SWN22,-0.043788,17
SWN23,-0.002104,13
SWN25,-0.011804,11
SWN26,-0.014095,18
SWN27,-0.063765,6
SWNJ2,-0.022856,1
SWNNA,-0.004441,4
SWNNB,0.046182,4
SWNNC,0.000531,4
SWNND,-0.016132,6
SWNNE,-0.084173,5
SWNNF,-0.020647,4
SWNNG,-0.038060,2
SWNNH,0.014474,1
SWNNI,-0.006507,3
SWNNK,-0.048400,3
SYDH,-0.157870,24
SYDS,-0.393546,12
TA04,-0.016334,1
TA05,-0.095263,1
TA06,0.028056,1
TA10,-0.066932,1
TA11,-0.075159,1
TA13,-0.019588,1
TAL,-0.017330,6
TALM,-0.017330,6
TATM,-0.035701,1
TAU,0.015559,5
TB01,-0.037881,1
TB02,0.040662,1
TB03,-0.035706,1
TB04,0.014996,1
TL01,0.010235,2
TL02,-0.050736,1
TL03,-0.000886,3
TL04,-0.013650,1
TL05,0.039127,1
TL06,-0.024579,3
TL08,-0.072029,1
TL10,0.060536,3
TL11,nan,1
TL12,-0.009592,3
TL13,0.011500,3
TL14,-0.035678,4
TL16,-0.066147,4
TL17,-0.078202,4
TL18,-0.083284,3
TL19,nan,2
TL20,nan,2
TMA,-0.062051,1
TMP3,0.017797,1
TOD,0.002409,1
TOMM,-0.057068,3
TOO,-0.024961,56
TOS,-0.045092,1
TPND,-0.008751,2
TROP,-0.038190,4
TV1H,-0.055038,14
TV2S,-0.093460,4
TW1H,-0.131877,9
TWOA,-0.068202,20
TYR,-0.028907,1
WAM,-0.029223,3
WAMB,-0.029223,3
WARB,-0.022803,7
WATNG,-0.090657,19
WB0,-0.027046,17
WDBM,0.043537,3
WDSD,-0.004648,1
WED,0.028441,1
WER,-0.021980,4
WERM,-0.021980,4
WGB,-0.020600,5
WGBM,-0.020600,5
WHY,-0.014810,1
WHYH,-0.122340,23
WILL,-0.007968,2
WOLH,-0.020467,16
WOOL,-0.034717,4
WPSH,-0.044787,1
WR01,-0.064553,1
WR02,-0.064499,1
WR03,-0.082082,1
WR04,-0.076754,1
WR05,-0.051249,1
