EV,MW,DIST,WA_AMP
55,2.9,217.3,0.0828796382541
56,2.9,66.4,0.590362638721
56,2.9,339.3,0.0188185903188
56,2.9,100.8,0.635347732131
56,2.9,266.9,0.0713636982345
56,2.9,211.1,0.0633034652084
56,2.9,191.5,0.129168124688
56,2.9,32.2,2.92828961087
56,2.9,126.6,0.0952411048969
56,2.9,93.4,0.111836507096
56,2.9,237.7,0.0517317286319
56,2.9,431.8,0.0105457296142
56,2.9,134.6,0.126649915583
56,2.9,17.4,2.19973213595
56,2.9,97.1,0.330590319733
56,2.9,111.2,0.562621140044
57,2.95,166.1,0.23834040846
57,2.95,174.4,0.289996018109
57,2.95,528.7,0.0114434963222
57,2.95,59.1,1.02650763026
57,2.95,320.0,0.0538831663965
57,2.95,187.7,0.0337229885372
57,2.95,142.0,0.196328585054
57,2.95,126.9,0.535533495746
57,2.95,239.2,0.0898892644072
57,2.95,217.2,0.305589137518
57,2.95,79.8,0.517249481645
57,2.95,123.3,0.283704385791
57,2.95,212.2,0.31442800521
57,2.95,99.2,0.356838822487
57,2.95,228.3,0.133303362837
57,2.95,105.2,0.41123646005
57,2.95,42.0,3.76635374658
57,2.95,282.5,0.0413940780256
57,2.95,320.9,0.0384332113939
57,2.95,103.8,0.188127371282
57,2.95,230.7,0.0313704684863
57,2.95,55.9,0.260638392698
57,2.95,100.5,0.219453094065
57,2.95,471.9,0.0198343498259
57,2.95,68.8,0.825015138465
57,2.95,80.5,0.179577635615
57,2.95,78.5,0.581916406261
58,2.95,149.5,0.172476936916
58,2.95,118.5,0.200950749993
58,2.95,193.2,0.214106809255
58,2.95,37.8,1.61863591913
58,2.95,65.7,0.240763267293
58,2.95,541.9,0.00547848585336
59,2.95,227.0,0.110874132221
59,2.95,220.8,0.0301823458057
59,2.95,124.1,0.737626986651
59,2.95,76.8,0.258534778891
59,2.95,259.3,0.0578930262722
59,2.95,202.5,0.23772892101
59,2.95,76.4,0.183385769837
59,2.95,85.7,0.370983895815
59,2.95,171.8,0.205555818396
59,2.95,46.9,0.745501357976
59,2.95,296.1,0.0476201534161
59,2.95,45.5,1.67856245186
59,2.95,160.3,0.262178575933
59,2.95,489.2,0.0132828837868
60,3.0,115.5,0.2627719268
60,3.0,18.7,11.7741339491
60,3.0,134.4,0.501049071425
60,3.0,362.5,0.005762338483
60,3.0,94.8,0.381163880953
60,3.0,176.2,0.143665951172
60,3.0,75.5,0.292236656021
60,3.0,268.2,0.072895181172
60,3.0,333.1,0.0381289182143
60,3.0,124.1,0.392122260056
60,3.0,29.3,2.41895899514
60,3.0,298.0,0.0362221039684
60,3.0,175.6,0.210182146798
60,3.0,106.1,0.37568913203
60,3.0,111.5,0.325717558539
60,3.0,140.9,0.341816238202
60,3.0,65.1,0.337076712214
61,3.0,96.1,0.248570921906
61,3.0,149.1,0.336861271023
61,3.0,209.4,0.176367132354
61,3.0,267.7,0.0898930181846
61,3.0,42.5,1.66721215746
61,3.0,86.6,0.530166526761
61,3.0,116.4,0.368213871319
61,3.0,118.1,0.160952029892
61,3.0,105.0,0.303757020095
61,3.0,28.7,5.68554966959
61,3.0,473.2,0.012943952455
61,3.0,130.3,0.442754611905
61,3.0,351.2,0.0164397486548
61,3.0,252.7,0.102584963317
62,3.0,352.1,0.0321303723438
62,3.0,120.7,0.274340686261
62,3.0,536.0,0.0155481658404
62,3.0,582.4,0.00504885197413
62,3.0,111.7,0.212595260267
62,3.0,99.7,0.342363542803
62,3.0,141.1,0.347390766258
62,3.0,187.1,0.138183014404
62,3.0,137.6,0.363811464362
62,3.0,135.8,0.18634037406
62,3.0,103.0,0.18657311017
62,3.0,121.0,0.183592843234
63,3.05,319.4,0.0351395455715
63,3.05,109.1,0.311360650185
63,3.05,227.6,0.15642558751
63,3.05,138.1,0.715050036969
63,3.05,140.5,0.363407046739
63,3.05,200.0,0.134660105537
63,3.05,112.6,0.553877642928
63,3.05,29.9,1.6421971237
63,3.05,58.0,0.375708809138
63,3.05,180.1,0.326364449991
63,3.05,157.8,0.556261758696
63,3.05,141.5,0.116037831039
63,3.05,98.0,0.255837987933
63,3.05,105.2,0.31146618588
64,3.05,92.9,0.578407358657
64,3.05,73.9,0.346366134916
64,3.05,177.8,0.295658229548
64,3.05,174.2,0.382763988499
64,3.05,92.5,0.313329364927
64,3.05,317.6,0.0318844472367
64,3.05,397.9,0.0351208523616
64,3.05,99.5,0.685536164514
64,3.05,176.2,0.192391918083
64,3.05,265.5,0.129284283985
64,3.05,122.8,0.716343584122
64,3.05,99.8,0.777632281357
64,3.05,188.5,0.437275524824
64,3.05,78.3,0.270737007197
64,3.05,53.8,0.578339276709
64,3.05,463.1,0.00796321297258
64,3.05,115.5,0.260719446924
64,3.05,696.1,0.00816269670343
64,3.05,201.0,0.228221717824
64,3.05,45.5,0.822288848574
65,3.05,325.0,0.0284166171034
65,3.05,54.0,0.491774092815
65,3.05,173.2,0.200672868597
65,3.05,84.7,0.578249079614
65,3.05,154.3,0.301062140559
65,3.05,221.3,0.114082569616
66,3.1,216.4,0.11019442477
66,3.1,31.8,1.16331718963
66,3.1,163.3,0.394850296647
66,3.1,124.5,0.357117645031
66,3.1,73.3,0.656615447768
66,3.1,50.4,1.750003472
66,3.1,199.3,0.301869755201
66,3.1,227.1,0.08499437053
66,3.1,112.4,0.28141409456
66,3.1,156.9,0.282023883226
66,3.1,25.8,3.79997577094
67,3.1,25.0,6.72958084825
67,3.1,181.3,0.120618514535
67,3.1,711.4,0.0106745796077
67,3.1,163.9,0.349844237687
67,3.1,53.7,0.732269678699
67,3.1,780.2,0.00400642271417
67,3.1,192.3,0.221635278055
67,3.1,76.3,0.394428915608
67,3.1,182.8,0.266778256875
67,3.1,203.5,0.291763540983
67,3.1,42.9,1.70331423022
67,3.1,43.8,1.41512627395
67,3.1,207.9,0.153000852805
67,3.1,100.7,0.493788684722
67,3.1,283.2,0.109479205836
67,3.1,360.3,0.025673762778
67,3.1,135.3,0.304262636324
67,3.1,66.7,0.843595451508
