MAG,DIST,PGV (cm/s)
5.00,200,0.0131176515018
5.00,220,0.029288736895
4.00,60,0.00648748236507
4.00,480,0.000207591496618
4.00,40,0.0326030907168
4.00,190,0.00689652524493
4.00,20,0.0642574244927
5.00,240,0.0344897509228
5.00,260,0.0200073656523
4.00,390,0.000307383657135
5.00,250,0.0182184550693
5.00,270,0.00650099238058
4.00,180,0.0049897623373
4.00,30,0.0264044192321
4.00,10,0.253858777366
4.00,330,0.000840905066119
4.50,250,0.00419289791584
4.50,270,0.00611137044354
4.00,100,0.00808257899468
4.00,450,0.000122237043755
4.00,90,0.00769116539514
4.00,470,0.000315301066066
4.00,120,0.00350215654448
4.00,110,0.00690461939033
4.00,440,0.000372946472547
4.00,460,0.000637497575622
4.00,80,0.00852023997844
4.00,130,0.00617358043118
4.50,240,0.00725467748055
4.50,260,0.00313298410916
4.00,340,0.000357550250544
4.50,200,0.00949233163432
4.50,220,0.006505950107
4.00,400,0.000187449173233
4.00,150,0.00237156293915
4.00,170,0.00533568766129
4.00,420,0.00039956675575
5.00,280,0.019672708796
5.00,290,0.00901722960661
4.00,410,0.000183522210406
4.00,140,0.00281420302332
4.00,160,0.0058980302532
4.00,430,0.000143960404997
4.50,210,0.00319545068444
4.50,230,0.00204344203749
4.00,390,0.000560428667787
4.00,30,0.0715114756215
4.50,10,0.436631095375
4.50,30,0.112062522596
5.00,240,0.0143385252015
4.50,20,0.359448101083
5.00,500,0.00601260254257
4.00,380,0.000426474492538
4.50,40,0.0397738340381
4.00,40,0.0276664780965
4.50,60,0.0490910756685
5.00,230,0.00823983896719
4.50,50,0.0168646468977
4.00,490,0.000130518782109
4.50,70,0.0132537967452
4.50,340,0.00221918239917
4.50,360,0.00196020856624
4.50,160,0.00619593365694
4.50,430,0.000952240612535
4.00,210,0.00289256328549
4.50,350,0.00587593631834
4.50,370,0.00236970670202
4.50,310,0.00163853164092
4.50,330,0.008753554454
5.00,390,0.00355529442551
5.00,90,0.0889844261778
4.00,500,8.57573610627e-05
5.00,80,0.0591151172211
5.00,380,0.00399795141552
4.50,110,0.0112866309218
4.50,440,0.00141826495916
4.00,260,0.000734687322666
4.50,300,0.00166738000555
4.50,320,0.000736482426935
5.00,190,0.0126383589374
5.00,420,0.00118584474293
5.00,170,0.0245792933552
5.00,150,0.0509155669681
5.00,400,0.00315798440046
4.00,280,0.000579892541642
5.00,360,0.00608570346309
4.50,480,0.00118927915
5.00,50,0.21067713728
4.50,490,0.000480852524182
4.00,290,0.000983510094786
5.00,430,0.00316315087251
5.00,160,0.0763418287548
5.00,140,0.028230949809
5.00,410,0.00198022968919
4.50,390,0.000490217968397
5.00,120,0.0607857617046
5.00,470,0.000775402912444
5.00,450,0.0021805194749
5.00,100,0.0108321111424
5.00,310,0.0106223399342
4.50,180,0.0231431982249
5.00,20,0.174494691349
4.50,190,0.00609227005223
5.00,130,0.0145361896098
5.00,460,0.00207553621785
5.00,440,0.00312424921112
5.00,110,0.0380932872819
4.00,300,0.00105456136259
4.00,320,0.0012171583883
4.00,80,0.00340413748313
4.50,80,0.0187425259715
4.50,500,0.000660142001912
4.00,100,0.00474904560416
4.00,450,0.000200646475863
4.50,90,0.00765818517373
4.50,270,0.0110666788673
4.00,310,0.000299256330705
4.00,330,0.000334129441227
4.00,350,0.000231036672578
4.00,370,0.000469684582216
5.00,280,0.0294300565484
4.00,170,0.00725798240164
4.00,420,0.000223665344684
4.50,200,0.0209372451002
4.00,340,0.000862427036923
4.00,360,0.000389234482434
4.00,380,0.000187642926253
4.00,20,0.030321697199
4.00,190,0.00209224485266
5.00,260,0.0176730422814
5.00,240,0.0129808028008
5.00,270,0.0101378413361
5.00,250,0.0171238413672
4.00,10,0.217370572078
4.00,30,0.0815436814526
4.50,10,0.829788476597
4.00,180,0.00618214750473
4.50,290,0.00053230037186
4.00,50,0.0109677753751
4.00,70,0.0136436412179
4.00,490,0.000158636433749
5.00,230,0.0174089533974
5.00,210,0.069187061702
5.00,220,0.0334170802674
5.00,200,0.0136821579047
4.00,40,0.0356684352428
4.50,60,0.0171761560165
4.00,480,0.0005154804866
4.00,60,0.0169014958088
4.50,280,0.00172481815828
5.00,490,0.00163288183885
4.50,350,0.00143019768319
4.00,210,0.00226096654818
4.00,230,0.00328963729023
4.50,410,0.000727415623026
4.50,140,0.0157300426258
4.50,160,0.0260314697603
